distribution,branch,q,density,acceptance,effective_density
raw_beta_recoil_complex,raw,0.3175,0.43755379929598126,1.0,0.43755379929598126
raw_beta_recoil_complex,raw,0.32,0.4378443449888508,1.0,0.4378443449888508
raw_beta_recoil_complex,raw,0.3225,0.4381332961874741,1.0,0.4381332961874741
raw_beta_recoil_complex,raw,0.325,0.4384206785141516,1.0,0.4384206785141516
raw_beta_recoil_complex,raw,0.3275,0.4387065170226048,1.0,0.4387065170226048
raw_beta_recoil_complex,raw,0.33,0.4389908362150415,1.0,0.4389908362150415
raw_beta_recoil_complex,raw,0.3325,0.4392736600585844,1.0,0.4392736600585844
raw_beta_recoil_complex,raw,0.335,0.4395550120010949,1.0,0.4395550120010949
raw_beta_recoil_complex,raw,0.3375,0.4398349149864145,1.0,0.4398349149864145
raw_beta_recoil_complex,raw,0.34,0.4401133914690527,1.0,0.4401133914690527
raw_beta_recoil_complex,raw,0.3425,0.4403904634283442,1.0,0.4403904634283442
raw_beta_recoil_complex,raw,0.34500000000000003,0.44066615238209816,1.0,0.44066615238209816
raw_beta_recoil_complex,raw,0.34750000000000003,0.4409404793997614,1.0,0.4409404793997614
raw_beta_recoil_complex,raw,0.35000000000000003,0.44121346511511633,1.0,0.44121346511511633
raw_beta_recoil_complex,raw,0.3525,0.4414851297385337,1.0,0.4414851297385337
raw_beta_recoil_complex,raw,0.355,0.4417554930687977,1.0,0.4417554930687977
raw_beta_recoil_complex,raw,0.3575,0.44202457450452237,1.0,0.44202457450452237
raw_beta_recoil_complex,raw,0.36,0.4422923930551763,1.0,0.4422923930551763
raw_beta_recoil_complex,raw,0.3625,0.44255896735172956,1.0,0.44255896735172956
raw_beta_recoil_complex,raw,0.365,0.44282431565694125,1.0,0.44282431565694125
raw_beta_recoil_complex,raw,0.3675,0.4430884558753013,1.0,0.4430884558753013
raw_beta_recoil_complex,raw,0.37,0.4433514055626384,1.0,0.4433514055626384
raw_beta_recoil_complex,raw,0.3725,0.4436131819354098,1.0,0.4436131819354098
raw_beta_recoil_complex,raw,0.375,0.44387380187968595,1.0,0.44387380187968595
raw_beta_recoil_complex,raw,0.3775,0.44413328195983853,1.0,0.44413328195983853
raw_beta_recoil_complex,raw,0.38,0.44439163842694845,1.0,0.44439163842694845
raw_beta_recoil_complex,raw,0.3825,0.4446488872269402,1.0,0.4446488872269402
raw_beta_recoil_complex,raw,0.385,0.4449050440084555,1.0,0.4449050440084555
raw_beta_recoil_complex,raw,0.3875,0.4451601241304773,1.0,0.4451601241304773
raw_beta_recoil_complex,raw,0.39,0.44541414266970936,1.0,0.44541414266970936
raw_beta_recoil_complex,raw,0.3925,0.44566711442772666,1.0,0.44566711442772666
raw_beta_recoil_complex,raw,0.395,0.4459190539378997,1.0,0.4459190539378997
raw_beta_recoil_complex,raw,0.3975,0.44616997547210513,1.0,0.44616997547210513
