distribution,branch,q,density,acceptance,effective_density
accepted_beta_recoil,case_I_forward,0.1875,0.4598094810271216,0.002187491118182885,0.0022646049725763583
accepted_beta_recoil,case_I_forward,0.19,0.4600722070233549,0.0022390829620321383,0.002319340009949034
accepted_beta_recoil,case_I_forward,0.1925,0.4603319213010135,0.0022917897367689516,0.0023752760962259204
accepted_beta_recoil,case_I_forward,0.195,0.46058870098892035,0.0023456329471668582,0.0024324368229770932
accepted_beta_recoil,case_I_forward,0.1975,0.46084262030896883,0.002400634450419523,0.0024908461737003676
accepted_beta_recoil,case_I_forward,0.2,0.4610937507210203,0.0024568164604892853,0.0025505285288850007
accepted_beta_recoil,case_I_forward,0.2025,0.46134216105887027,0.002514201552477608,0.0026115086710989097
accepted_beta_recoil,case_I_forward,0.20500000000000002,0.4615879176579349,0.002572812667016635,0.0026738117900989397
accepted_beta_recoil,case_I_forward,0.20750000000000002,0.46183108447525834,0.0026326731146813563,0.0027374634879640015
accepted_beta_recoil,case_I_forward,0.21,0.46207172320238843,0.0026938065804214925,0.0028024897842504532
accepted_beta_recoil,case_I_forward,0.2125,0.4623098933716228,0.002756237128012435,0.0028689171211693037
accepted_beta_recoil,case_I_forward,0.215,0.4625456524560896,0.002819989204524564,0.0029367723687847903
accepted_beta_recoil,case_I_forward,0.2175,0.4627790559640873,0.002885087644809961,0.003006082830233538
accepted_beta_recoil,case_I_forward,0.22,0.46301015752807373,0.00295155767600597,0.00307687624696392
accepted_beta_recoil,case_I_forward,0.2225,0.46323900898866593,0.0030194249220545696,0.0031491808039947403
accepted_beta_recoil,case_I_forward,0.225,0.4634656604739831,0.0030887154082367718,0.0032230251351925854
accepted_beta_recoil,case_I_forward,0.2275,0.4636901604746388,0.003159455565721222,0.0032984383285671382
accepted_beta_recoil,case_I_forward,0.23,0.4639125559146666,0.0032316722361260433,0.0033754499315835885
accepted_beta_recoil,case_I_forward,0.2325,0.4641328922186411,0.0033053926760930104,0.0034540899564913185
accepted_beta_recoil,case_I_forward,0.23500000000000001,0.4643512133752366,0.0033806445618730957,0.003534388885667973
accepted_beta_recoil,case_I_forward,0.23750000000000002,0.46456756199744864,0.0034574559939224013,0.003616377676977976
accepted_beta_recoil,case_I_forward,0.24,0.4647819793796868,0.0035358555015075786,0.0037000877691446606
accepted_beta_recoil,case_I_forward,0.2425,0.4649945055519309,0.0036158720473194873,0.0037855510871347624
accepted_beta_recoil,case_I_forward,0.245,0.46520517933113287,0.0036975350320943273,0.0038728000475545775
accepted_beta_recoil,case_I_forward,0.2475,0.4654140383700272,0.0037808742992408344,0.003961867564056336
accepted_beta_recoil,case_I_forward,0.25,0.4656211192035089,0.003865920139472804,0.004052787052754097
accepted_beta_recoil,case_I_forward,0.2525,0.46582645729272093,0.00395270329544546,0.004145592437647647
accepted_beta_recoil,case_I_forward,0.255,0.4660300870669869,0.004041254966394715,0.004240318156053452
accepted_beta_recoil,case_I_forward,0.2575,0.4662320419637133,0.004131606812778136,0.0043369991640414204
accepted_beta_recoil,case_I_forward,0.26,0.46643235446637926,0.00422379096091623,0.004435670941876089
accepted_beta_recoil,case_I_forward,0.2625,0.4666310561407224,0.004317840007633075,0.004536369499461195
accepted_beta_recoil,case_I_forward,0.265,0.4668281776692231,0.004413787024894767,0.004639131381786057
accepted_beta_recoil,case_I_forward,0.2675,0.46702374888398174,0.0045116655644445,0.004743993674372518
accepted_beta_recoil,case_I_forward,0.27,0.4672177987980784,0.004611509662433047,0.004850994008721173
accepted_beta_recoil,case_I_forward,0.2725,0.4674103556354998,0.004713353844043088,0.004960170567755224
accepted_beta_recoil,case_I_forward,0.275,0.4676014468597081,0.004817233128106182,0.005071562091260701
accepted_beta_recoil,case_I_forward,0.2775,0.4677910992009287,0.004923183031710876,0.005185207881321457
accepted_beta_recoil,case_I_forward,0.28,0.46797933868222297,0.005031239574800499,0.005301147807747352
accepted_beta_recoil,case_I_forward,0.28250000000000003,0.46816619064441134,0.005141439284759328,0.005419422313494296
accepted_beta_recoil,case_I_forward,0.28500000000000003,0.4683516797699067,0.005253819200985392,0.005540072420074197
accepted_beta_recoil,case_I_forward,0.28750000000000003,0.46853583010551536,0.005368416879448605,0.005663139732953498
accepted_beta_recoil,case_I_forward,0.29,0.4687186650842583,0.005485270397232559,0.005788666446938452
accepted_beta_recoil,case_I_forward,0.2925,0.4689002075462634,0.0056044183570584235,0.005916695351545468
accepted_beta_recoil,case_I_forward,0.295,0.46908047975877526,0.005725899891789377,0.006047269836354838
accepted_beta_recoil,case_I_forward,0.2975,0.46925950343532746,0.005849754668913828,0.006180433896345946
accepted_beta_recoil,case_I_forward,0.3,0.46943729975411874,0.005976022895005948,0.006316232137212353
accepted_beta_recoil,case_I_forward,0.3025,0.4696138893756324,0.006104745320161528,0.006454709780654597
accepted_beta_recoil,case_I_forward,0.305,0.4697892924595369,0.00623596324240783,0.0065959126696492655
accepted_beta_recoil,case_I_forward,0.3075,0.46996352868090124,0.006369718512085289,0.0067398872736919874
accepted_beta_recoil,case_I_forward,0.31,0.4701366172457592,0.0065060535361994255,0.006886680694012554
accepted_beta_recoil,case_I_forward,0.3125,0.47030857690605415,0.006645011282741404,0.007036340668760468
