study_id,source_title,source_url,doi,source_file,source_file_sha256,source_figure,source_panel,setup,theta_pi,purity,observable,alpha_deg,value,extraction_method,extracted_by,extraction_date,point_id,pixel_x,pixel_y,pixel_count,component_width,component_height,notes
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,-8.37694480302045,0.31362194530579196,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_21,1654.96192893401,852.1573604060914,1576,61.0,43.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,-6.4209007336747135,0.259512558004096,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_22,1689.0622972096041,913.8961713173264,1541,63.0,43.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,-4.387802805696012,0.1983875116989684,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_23,1724.5059710873663,983.639849151477,1591,62.0,41.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,-2.428430475920365,0.14050991251733164,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_24,1758.664362036455,1049.6781898177246,1591,62.0,41.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,-0.445685788807225,0.08377829011721877,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_25,1793.230211081794,1114.4089709762534,1516,63.0,41.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,1.5649572131517857,0.02587093075238616,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_26,1828.2824207492795,1180.4812680115274,1388,65.0,40.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,3.540543617810698,0.06909413971557297,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_27,1862.7234770704997,1131.1635865845312,1461,64.0,40.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,5.46300480908512,0.12563378452949,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_28,1896.238383838384,1066.651851851852,1485,62.0,40.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,7.501694337693806,0.18706305336931592,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_29,1931.7795379537954,996.5610561056105,1515,62.0,41.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,9.497267624745561,0.24535806168895427,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_30,1966.5690322580645,930.0464516129032,1550,63.0,41.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,11.478081290735076,0.3017386436816329,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_31,2001.1012171684818,865.7162075592569,1561,62.0,41.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,13.44955149688964,0.3582831982775021,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_32,2035.4705144291092,801.1988707653701,1594,63.0,41.0,connected colored marker component
