study_id,panel,source_file,source_sha256,point_index,ps_x,ps_y,intensity_arb_units,marker_width_ps,marker_height_ps,source_url,doi,extraction_method
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,41,282.12,383.22,32.45767170877718,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,42,266.1,386.4,35.248777802169464,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,43,249.48,389.52,38.14441970430305,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,44,237.12,392.7,40.2978573643735,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,45,235.92,395.76,40.50692898185607,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,46,208.56,399.0,45.273761860458634,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,47,210.12,402.06,45.00196875773129,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,48,202.2,405.24,46.38184143311625,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,49,205.86,408.36,45.74417299979441,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,50,213.18,411.42,44.46883613315074,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,51,218.64,414.6,43.51756027360506,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,52,227.28,417.72,42.01224462773056,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,53,246.66,420.9,38.635738005387076,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,54,271.5,423.96,34.30795552349791,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,55,289.74,427.14,31.130066937762862,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,56,313.56,430.26,26.979995330733875,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,57,322.2,433.44,25.47467968485938,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,58,348.48,436.5,20.896011261991124,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,59,367.32,439.68,17.6135868675148,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,60,388.92,442.8,13.850297752828562,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,61,415.14,445.98,9.282082910834442,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,62,441.6,449.04,4.672053745343796,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,63,440.88,452.22,4.797496715833343,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,64,440.7,455.34,4.828857458455729,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,65,428.76,458.52,6.909120052407286,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,66,406.92,461.58,10.714223490590031,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,67,374.58,464.76,16.348703581745262,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,68,358.2,467.88,19.202531160382325,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,69,343.2,471.06,21.815926378914433,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,70,331.86,474.18,23.7916531641247,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
