study_id,figure,series_type,branch,marker,d_over_lambda,point_index,nbar,visibility,pixel_x,pixel_y,extraction_method,source_file
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,31,4.6979931459635695,0.6671000463078904,266.52,519.96,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,32,4.850682816950247,0.6585141051905425,269.6401,519.0,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,33,4.991617717586292,0.6521454868480359,272.52,518.2798,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,34,5.144307388572971,0.645842818091266,275.6401,517.5601,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,35,5.3087322549388345,0.6395958831764601,279.0,516.8398,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,36,5.461421925925509,0.6313647875794703,282.1201,515.8799,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,37,5.602356826561557,0.6272886250640478,285.0,515.3999,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,38,5.755046497548232,0.6212219944298069,288.1201,514.6797,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,39,5.90773616853491,0.6152181861780089,291.2402,513.96,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,40,6.060406264550144,0.6092674689759237,294.3599,513.2397,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,41,6.213095935536822,0.6033791953948391,297.48,512.52,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,42,6.365785606523498,0.5975437975180289,300.6001,511.7998,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
