theta_used,eraser_time,eta,kappa_eff,exposure,Lambda,Gamma,Theta,marker_visibility,visibility_unconditioned,visibility_eraser_plus,visibility_eraser_minus,prob_eraser_plus,prob_eraser_minus
0.18,0.5935251798561151,0.9541547467406835,0.13922269683915214,0.168540810622457,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.34574537145221335,0.9232456633705319,0.8207610971470695,0.6688657951377875,0.3311342048622121
0.18,0.6025179856115108,0.9523048823889747,0.13922269683915214,0.1755103225285411,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3450750587596417,0.9214557239017268,0.8191698492912389,0.6688657951377875,0.3311342048622121
0.18,0.6115107913669064,0.9504389119684679,0.13922269683915214,0.1825542445239695,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3443989099081469,0.9196502001073995,0.8175647470425619,0.6688657951377875,0.3311342048622121
0.18,0.6205035971223021,0.9485576670674992,0.13922269683915214,0.1896698400505315,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3437172262302113,0.9178298966372442,0.8159465057308715,0.6688657951377875,0.3311342048622121
0.18,0.6294964028776978,0.9466619477437231,0.13922269683915214,0.19685447319162164,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3430302976329297,0.9159955876316845,0.8143158135634004,0.6688657951377875,0.3311342048622121
0.18,0.6384892086330936,0.9447525236426677,0.13922269683915214,0.2041056049709725,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.34233840300332763,0.9141480178041944,0.8126733325869605,0.6688657951377875,0.3311342048622121
0.18,0.6474820143884892,0.9428301350810924,0.13922269683915214,0.2114207897875084,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3416418106009235,0.9122879034895611,0.8110196996198438,0.6688657951377875,0.3311342048622121
0.18,0.6564748201438848,0.9408954940959049,0.13922269683915214,0.21879767198131309,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.34094077843781245,0.9104159336588239,0.809355527154096,0.6688657951377875,0.3311342048622121
0.18,0.6654676258992805,0.9389492854594061,0.13922269683915214,0.22623398252588983,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3402355546465477,0.9085327709016301,0.8076814042288302,0.6688657951377875,0.3311342048622121
0.18,0.6744604316546763,0.9369921676616445,0.13922269683915214,0.23372753584206923,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.33952637783610445,0.9066390523767672,0.8059978972752422,0.6688657951377875,0.3311342048622121
0.18,0.6834532374100719,0.9350247738606697,0.13922269683915214,0.2412762267290912,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3388134774362119,0.904735390731634,0.804305550934018,0.6688657951377875,0.3311342048622121
0.18,0.6924460431654675,0.9330477128014787,0.13922269683915214,0.24887802740855178,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3380970740303402,0.9028223749914179,0.8026048888458069,0.6688657951377875,0.3311342048622121
0.18,0.7014388489208633,0.9310615697044502,0.13922269683915214,0.25653098467706353,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.33737737967763154,0.9009005714187494,0.8008964144154522,0.6688657951377875,0.3311342048622121
0.18,0.710431654676259,0.9290669071240634,0.13922269683915214,0.2642332171636317,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.33665459822406396,0.8989705243446031,0.7991806115506559,0.6688657951377875,0.3311342048622121
0.18,0.7194244604316546,0.9270642657786944,0.13922269683915214,0.27198291268789526,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.33592892560313387,0.8970327569712139,0.7974579453757701,0.6688657951377875,0.3311342048622121
0.18,0.7284172661870503,0.9250541653522785,0.13922269683915214,0.2797783257155234,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3352005501263452,0.8950877721477699,0.7957288629213813,0.6688657951377875,0.3311342048622121
0.18,0.737410071942446,0.923037105268622,0.13922269683915214,0.28761777490719376,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.33446965276378693,0.8931360531196408,0.7939937937903745,0.6688657951377875,0.3311342048622121
0.18,0.7464028776978417,0.921013565439138,0.13922269683915214,0.2954996407577106,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.333736407415081,0.8911780642518912,0.7922531508011306,0.6688657951377875,0.3311342048622121
0.18,0.7553956834532374,0.918984006984772,0.13922269683915214,0.3034223633219503,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.33300098117097776,0.889214251727821,0.7905073306085257,0.6688657951377875,0.3311342048622121
0.18,0.764388489208633,0.9169488729328751,0.13922269683915214,0.31138444002443666,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3322635345658734,0.8872450442232627,0.7887567143033802,0.6688657951377875,0.3311342048622121
0.18,0.7733812949640287,0.9149085888897668,0.13922269683915214,0.3193844235494755,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3315242218215181,0.8852708535573582,0.7870016679909936,0.6688657951377875,0.3311342048622121
0.18,0.7823741007194245,0.9128635636897241,0.13922269683915214,0.3274209198088801,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3307831910821824,0.8832920753205238,0.785242543349405,0.6688657951377875,0.3311342048622121
0.18,0.7913669064748201,0.910814190021113,0.13922269683915214,0.33549258598443976,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.33004058464154085,0.881309089480298,0.7834796781679871,0.6688657951377875,0.3311342048622121
0.18,0.8003597122302157,0.9087608450303715,0.13922269683915214,0.34359812864237876,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.32929653916152984,0.8793222609657605,0.7817133968669935,0.6688657951377875,0.3311342048622121
0.18,0.8093525179856115,0.9067038909045371,0.13922269683915214,0.3517363019171589,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.32855118588343096,0.877331940231188,0.7799440109986447,0.6688657951377875,0.3311342048622121
0.18,0.8183453237410072,0.9046436754329952,0.13922269683915214,0.3599059057620763,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.32780465083142496,0.8753384637996058,0.7781718197303432,0.6688657951377875,0.3311342048622121
0.18,0.8273381294964028,0.9025805325491139,0.13922269683915214,0.3681057842641958,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3270570550088572,0.873342154786876,0.7763971103105871,0.6688657951377875,0.3311342048622121
0.18,0.8363309352517985,0.9005147828524117,0.13922269683915214,0.3763348240212562,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3263085145874493,0.8713433234069515,0.7746201585181364,0.6688657951377875,0.3311342048622121
0.18,0.8453237410071942,0.8984467341118946,0.13922269683915214,0.38459195257826706,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3255591410896872,0.869342267458906,0.7728412290949808,0.6688657951377875,0.3311342048622121
0.18,0.85431654676259,0.8963766817511765,0.13922269683915214,0.3928761369216033,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.32480904156460827,0.8673392727963406,0.7710605761636418,0.6688657951377875,0.3311342048622121
0.18,0.8633093525179856,0.8943049093159888,0.13922269683915214,0.40118638202848145,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.324058318757207,0.865334613779749,0.7692784436293206,0.6688657951377875,0.3311342048622121
0.18,0.8723021582733812,0.8922316889246652,0.13922269683915214,0.4095217294697814,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.32330707127167174,0.8633285537124072,0.7674950655674044,0.6688657951377875,0.3311342048622121
0.18,0.8812949640287769,0.8901572817021711,0.13922269683915214,0.41788125606425225,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.32255539372865855,0.8613213452603462,0.7657106665968182,0.6688657951377875,0.3311342048622121
0.18,0.8902877697841727,0.8880819381982383,0.13922269683915214,0.4262640725822112,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3218033769168057,0.8593132308569381,0.7639254622397016,0.6688657951377875,0.3311342048622121
0.18,0.8992805755395683,0.8860058987901414,0.13922269683915214,0.4346693224969168,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.32105110793868263,0.8573044430926272,0.7621396592678767,0.6688657951377875,0.3311342048622121
0.18,0.9082733812949639,0.8839293940706439,0.13922269683915214,0.4430961807818625,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3202986703513653,0.8552952050903081,0.7603534560365585,0.6688657951377875,0.3311342048622121
0.18,0.9172661870503597,0.881852645221625,0.13922269683915214,0.45154385275230186,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3195461443018228,0.8532857308668492,0.7585670428057465,0.6688657951377875,0.3311342048622121
0.18,0.9262589928057554,0.8797758643738811,0.13922269683915214,0.46001157294937767,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.31879360665729417,0.8512762256812383,0.7567806020497256,0.6688657951377875,0.3311342048622121
0.18,0.935251798561151,0.8776992549535853,0.13922269683915214,0.46849860406529065,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.31804113113083066,0.84926688636982,0.7549943087550895,0.6688657951377875,0.3311342048622121
0.18,0.9442446043165467,0.8756230120158692,0.13922269683915214,0.47700423590799623,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.31728878840217184,0.84725790166907,0.7532083307076874,0.6688657951377875,0.3311342048622121
0.18,0.9532374100719424,0.8735473225659836,0.13922269683915214,0.4855277844039758,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3165366462341203,0.8452494525263526,0.7514228287688831,0.6688657951377875,0.3311342048622121
0.18,0.9622302158273381,0.8714723658684712,0.13922269683915214,0.4940685906376837,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3157847695845734,0.8432417123990791,0.7496379571415079,0.6688657951377875,0.3311342048622121
0.18,0.9712230215827338,0.8693983137447825,0.13922269683915214,0.5026260199263195,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.315033220714366,0.8412348475426803,0.7478538636258659,0.6688657951377875,0.3311342048622121
0.18,0.9802158273381294,0.8673253308597413,0.13922269683915214,0.5111994609286274,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3142820592910739,0.8392290172877941,0.7460706898661531,0.6688657951377875,0.3311342048622121
0.18,0.9892086330935251,0.8652535749972617,0.13922269683915214,0.5197883247864716,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.31353134248892195,0.8372243743070508,0.7442885715876263,0.6688657951377875,0.3311342048622121
0.18,0.9982014388489209,0.863183197325702,0.13922269683915214,0.5283920442979804,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3127811250849369,0.8352210648718296,0.7425076388248615,0.6688657951377875,0.3311342048622121
0.18,1.0071942446043165,0.8627693000265586,0.13922269683915214,0.5301145224422263,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3126311461890353,0.8348205754461674,0.7421516055896743,0.6688657951377875,0.3311342048622121
0.18,1.0161870503597121,0.8627693000265586,0.13922269683915214,0.5301145224422263,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3126311461890353,0.8348205754461674,0.7421516055896743,0.6688657951377875,0.3311342048622121
0.18,1.0251798561151078,0.8627693000265586,0.13922269683915214,0.5301145224422263,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3126311461890353,0.8348205754461674,0.7421516055896743,0.6688657951377875,0.3311342048622121
0.18,1.0341726618705036,0.8627693000265586,0.13922269683915214,0.5301145224422263,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3126311461890353,0.8348205754461674,0.7421516055896743,0.6688657951377875,0.3311342048622121
0.18,1.0431654676258992,0.8627693000265586,0.13922269683915214,0.5301145224422263,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3126311461890353,0.8348205754461674,0.7421516055896743,0.6688657951377875,0.3311342048622121
0.18,1.0521582733812949,0.8627693000265586,0.13922269683915214,0.5301145224422263,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3126311461890353,0.8348205754461674,0.7421516055896743,0.6688657951377875,0.3311342048622121
0.18,1.0611510791366907,0.8627693000265586,0.13922269683915214,0.5301145224422263,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3126311461890353,0.8348205754461674,0.7421516055896743,0.6688657951377875,0.3311342048622121
0.18,1.0701438848920863,0.8627693000265586,0.13922269683915214,0.5301145224422263,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3126311461890353,0.8348205754461674,0.7421516055896743,0.6688657951377875,0.3311342048622121
0.18,1.079136690647482,0.8627693000265586,0.13922269683915214,0.5301145224422263,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3126311461890353,0.8348205754461674,0.7421516055896743,0.6688657951377875,0.3311342048622121
0.18,1.0881294964028776,0.8627693000265586,0.13922269683915214,0.5301145224422263,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3126311461890353,0.8348205754461674,0.7421516055896743,0.6688657951377875,0.3311342048622121
0.18,1.0971223021582732,0.8627693000265586,0.13922269683915214,0.5301145224422263,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3126311461890353,0.8348205754461674,0.7421516055896743,0.6688657951377875,0.3311342048622121
0.18,1.106115107913669,0.8627693000265586,0.13922269683915214,0.5301145224422263,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3126311461890353,0.8348205754461674,0.7421516055896743,0.6688657951377875,0.3311342048622121
0.18,1.1151079136690647,0.8627693000265586,0.13922269683915214,0.5301145224422263,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3126311461890353,0.8348205754461674,0.7421516055896743,0.6688657951377875,0.3311342048622121
0.18,1.1241007194244603,0.8627693000265586,0.13922269683915214,0.5301145224422263,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3126311461890353,0.8348205754461674,0.7421516055896743,0.6688657951377875,0.3311342048622121
0.18,1.1330935251798562,0.8627693000265586,0.13922269683915214,0.5301145224422263,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3126311461890353,0.8348205754461674,0.7421516055896743,0.6688657951377875,0.3311342048622121
0.18,1.1420863309352518,0.8627693000265586,0.13922269683915214,0.5301145224422263,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3126311461890353,0.8348205754461674,0.7421516055896743,0.6688657951377875,0.3311342048622121
0.18,1.1510791366906474,0.8627693000265586,0.13922269683915214,0.5301145224422263,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3126311461890353,0.8348205754461674,0.7421516055896743,0.6688657951377875,0.3311342048622121
0.18,1.160071942446043,0.8627693000265586,0.13922269683915214,0.5301145224422263,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3126311461890353,0.8348205754461674,0.7421516055896743,0.6688657951377875,0.3311342048622121
0.18,1.1690647482014387,0.8627693000265586,0.13922269683915214,0.5301145224422263,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3126311461890353,0.8348205754461674,0.7421516055896743,0.6688657951377875,0.3311342048622121
0.18,1.1780575539568345,0.8627693000265586,0.13922269683915214,0.5301145224422263,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3126311461890353,0.8348205754461674,0.7421516055896743,0.6688657951377875,0.3311342048622121
0.18,1.1870503597122302,0.8627693000265586,0.13922269683915214,0.5301145224422263,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3126311461890353,0.8348205754461674,0.7421516055896743,0.6688657951377875,0.3311342048622121
0.18,1.1960431654676258,0.8627693000265586,0.13922269683915214,0.5301145224422263,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3126311461890353,0.8348205754461674,0.7421516055896743,0.6688657951377875,0.3311342048622121
0.18,1.2050359712230216,0.8627693000265586,0.13922269683915214,0.5301145224422263,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3126311461890353,0.8348205754461674,0.7421516055896743,0.6688657951377875,0.3311342048622121
0.18,1.2140287769784173,0.8627693000265586,0.13922269683915214,0.5301145224422263,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3126311461890353,0.8348205754461674,0.7421516055896743,0.6688657951377875,0.3311342048622121
0.18,1.223021582733813,0.8627693000265586,0.13922269683915214,0.5301145224422263,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3126311461890353,0.8348205754461674,0.7421516055896743,0.6688657951377875,0.3311342048622121
0.18,1.2320143884892085,0.8627693000265586,0.13922269683915214,0.5301145224422263,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3126311461890353,0.8348205754461674,0.7421516055896743,0.6688657951377875,0.3311342048622121
0.18,1.2410071942446042,0.8627693000265586,0.13922269683915214,0.5301145224422263,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3126311461890353,0.8348205754461674,0.7421516055896743,0.6688657951377875,0.3311342048622121
0.18,1.25,0.8627693000265586,0.13922269683915214,0.5301145224422263,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3126311461890353,0.8348205754461674,0.7421516055896743,0.6688657951377875,0.3311342048622121
0.40043004310444363,0.0,1.0,0.30971639164676995,0.0,0.6188286139470075,0.9258345459315777,0.40043004310444363,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.40043004310444363,0.008992805755395683,1.0,0.30971639164676995,0.0,0.6188286139470075,0.9258345459315777,0.40043004310444363,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.40043004310444363,0.017985611510791366,1.0,0.30971639164676995,0.0,0.6188286139470075,0.9258345459315777,0.40043004310444363,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.40043004310444363,0.02697841726618705,1.0,0.30971639164676995,0.0,0.6188286139470075,0.9258345459315777,0.40043004310444363,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.40043004310444363,0.03597122302158273,1.0,0.30971639164676995,0.0,0.6188286139470075,0.9258345459315777,0.40043004310444363,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.40043004310444363,0.044964028776978415,1.0,0.30971639164676995,0.0,0.6188286139470075,0.9258345459315777,0.40043004310444363,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.40043004310444363,0.0539568345323741,1.0,0.30971639164676995,0.0,0.6188286139470075,0.9258345459315777,0.40043004310444363,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.40043004310444363,0.06294964028776978,1.0,0.30971639164676995,0.0,0.6188286139470075,0.9258345459315777,0.40043004310444363,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
