sample_id,linear_rmse,published_bound_rmse,scaled_loss_rmse,linear_beats_bound,linear_beats_scaled_loss,linear_intercept,linear_slope,loss_momentum_pearson_r,all_points_above_bound,monotone,best_model
109,0.009647671073023154,0.06959501742214873,0.019981854124572,True,True,0.03350390659776988,0.7025279539519199,0.9989668101553284,True,True,linear_bandwidth
110,0.006490252968953355,0.07092216732101865,0.02453106144697376,True,True,0.045006636558033664,0.6855380426726039,0.999514214830435,True,True,linear_bandwidth
111,0.009151108711964522,0.06856152562844244,0.021356745443740943,True,True,0.03634750846677077,0.6956198892099199,0.9990953960446098,True,True,linear_bandwidth
112,0.0064269332858751796,0.06876939006045267,0.026635357226495335,True,True,0.048617638531451006,0.6749242861418336,0.9995238971971898,True,True,linear_bandwidth
113,0.004819934098495197,0.06996982172176945,0.027527948679242097,True,True,0.05071459210463292,0.6735271465922802,0.9997349726074458,True,True,linear_bandwidth
114,0.005560772946192362,0.06683492976247916,0.025257283511592545,True,True,0.04627386329884102,0.6757979754110757,0.999644743277559,True,True,linear_bandwidth
115,0.0082558701467707,0.06882708294071263,0.021813506318548965,True,True,0.03822524808247245,0.6929889897569765,0.9992505886194033,True,True,linear_bandwidth
116,0.004659598341292137,0.0697148061579312,0.022472657869115797,True,True,0.04186287033492864,0.6888213309900744,0.9997549412979438,True,True,linear_bandwidth
117,0.007286757250081101,0.07010562125495193,0.025496690046331136,True,True,0.0461384811474179,0.6819775933818406,0.9993889685335794,True,True,linear_bandwidth
118,0.007788508435646515,0.07053869003581917,0.020471250057073162,True,True,0.035716386382719914,0.7009685406240753,0.9993438374959324,True,True,linear_bandwidth
119,0.007155004241053608,0.07073211955447704,0.028393680871571018,True,True,0.05155692545034564,0.6732765960058389,0.9994038098371714,True,True,linear_bandwidth
120,0.005192074841741549,0.07056227142525977,0.0233385507341694,True,True,0.04298946592797246,0.6887502509338278,0.999696248348431,True,True,linear_bandwidth
121,0.005616780942902214,0.06594997227845856,0.02542011720630274,True,True,0.046835318185350826,0.6728508266573111,0.9996342079716634,True,True,linear_bandwidth
122,0.0067837273456863734,0.07277832667611953,0.023867154192433463,True,True,0.043456714982305016,0.6918767305614248,0.9994772830586924,True,True,linear_bandwidth
123,0.008602940842228356,0.07118131889847261,0.027121785558609647,True,True,0.0486487771996395,0.678943896977333,0.9991453594273835,True,True,linear_bandwidth
124,0.004539991994994651,0.06464867875165055,0.02220746355126853,True,True,0.041111825152857204,0.6812027844671831,0.9997632630836685,True,True,linear_bandwidth
125,0.006621320297328625,0.06607640499846343,0.01814650923860879,True,True,0.032187902379946426,0.698985044268287,0.9995153807255149,True,True,linear_bandwidth
126,0.005077850892161536,0.0772522221214784,0.025521027672085257,True,True,0.04745224227275273,0.6931420001963584,0.999709563075538,True,True,linear_bandwidth
127,0.0064259881213031755,0.07235702260615881,0.022152873459395955,True,True,0.04018142708521131,0.6969376726419152,0.9995402379391054,True,True,linear_bandwidth
128,0.005338665918715156,0.06543773667755437,0.023124516413625347,True,True,0.04268232084871609,0.6796602545282839,0.9996696670495715,True,True,linear_bandwidth
129,0.0069753953390127585,0.06782670157084639,0.025233730641544515,True,True,0.04575289903972671,0.6779810419823602,0.9994483272275057,True,True,linear_bandwidth
130,0.008168518964169208,0.0720154161915618,0.02798444095951336,True,True,0.04967474319702821,0.6787104188410709,0.999265061491886,True,True,linear_bandwidth
131,0.006496588578442644,0.06916350139842899,0.025419161971323465,True,True,0.04662431089444717,0.6793273923110742,0.9995083238390136,True,True,linear_bandwidth
132,0.007236612749694795,0.06601391125341288,0.019598535111408712,True,True,0.03451367427202037,0.6947285131918775,0.99942202668821,True,True,linear_bandwidth
133,0.005125153632763428,0.07127646131850968,0.024650891246134007,True,True,0.04539951985679263,0.6858375377937851,0.9997030732743766,True,True,linear_bandwidth
134,0.004765201125906984,0.0714488391693617,0.026547725640694273,True,True,0.04913798708443215,0.6791326727116912,0.999742173340272,True,True,linear_bandwidth
135,0.007402932566817631,0.0742931029776343,0.024705328646968488,True,True,0.044419211273924133,0.6925678069673502,0.9993961179560745,True,True,linear_bandwidth
136,0.007582683431828981,0.07164579924335135,0.023134323265579293,True,True,0.04172032432845177,0.6922860028092014,0.9993502842633842,True,True,linear_bandwidth
137,0.004263899967445859,0.06930137088808828,0.01752272704458102,True,True,0.032245806529865854,0.7050268230489934,0.9998040750556492,True,True,linear_bandwidth
138,0.006619904937486233,0.07119139595628664,0.026010275813620466,True,True,0.04736913051196146,0.681789403844661,0.999500867887293,True,True,linear_bandwidth
139,0.013286078265044245,0.07187531601332363,0.02568132778741968,True,True,0.04164023696424259,0.6909961935055184,0.9980608785913425,True,True,linear_bandwidth
140,0.0076963179200288025,0.06871261135639367,0.022716698816917073,True,True,0.040376693213019864,0.6894238332596557,0.9993381752659494,True,True,linear_bandwidth
141,0.004405263359862793,0.07286387919032256,0.02202967525456656,True,True,0.04096965914124911,0.6969133451666778,0.9997819022864988,True,True,linear_bandwidth
142,0.01117900039363425,0.07019322332623239,0.028335664584723502,True,True,0.04932894671521458,0.6750694817167768,0.9985430213420483,True,True,linear_bandwidth
143,0.00495082254412742,0.06814297688465049,0.02212087526301513,True,True,0.041041742457995536,0.6877892003706845,0.999718228975388,True,True,linear_bandwidth
144,0.006429555374865531,0.06970978640328938,0.022572427347864955,True,True,0.04055127579575553,0.6911755931324394,0.9995489953611187,True,True,linear_bandwidth
145,0.006373659715511284,0.06722370169177695,0.02823634286437118,True,True,0.05152343443122439,0.6667744840848002,0.9995211508514625,True,True,linear_bandwidth
146,0.0072922817248545655,0.06865080681165983,0.026658846439124202,True,True,0.04824241900887775,0.675241300017474,0.9993869473512849,True,True,linear_bandwidth
147,0.00699275036700809,0.07218759484483972,0.024563099296046928,True,True,0.04420624896613391,0.6895162747188422,0.9994540839673796,True,True,linear_bandwidth
