component,sample_id,calculated_independent_kappa_rmse,refit_kappa_from_digitized_points_rmse,passes_absolute_rmse_lt_005,passes_refit_ratio_lte_15,passes_no_refit_stress_gate
d_axis_only,217,0.023888807708053555,0.020056213737821564,True,True,True
d_axis_only,218,0.025024540778978803,0.021016300676436388,True,True,True
d_axis_only,219,0.026253208549972065,0.020213400489147285,True,True,True
d_axis_only,220,0.02334816934337906,0.01923430354704073,True,True,True
d_axis_only,221,0.02450855439740706,0.019774833971247,True,True,True
d_axis_only,222,0.02320717322801856,0.01825279404920115,True,True,True
d_axis_only,223,0.023860915092605687,0.01946110687522112,True,True,True
d_axis_only,224,0.02495345514287929,0.019895513323451477,True,True,True
d_axis_only,225,0.02146182075848873,0.018533519197937068,True,True,True
d_axis_only,226,0.02423066453099726,0.02070840920814457,True,True,True
d_axis_only,227,0.025205215842102915,0.019201383658947455,True,True,True
d_axis_only,228,0.022795432327130168,0.018821998208400074,True,True,True
d_axis_only,229,0.0254249300882969,0.020239125712846657,True,True,True
d_axis_only,230,0.025619691390512594,0.019233269480029118,True,True,True
d_axis_only,231,0.02357140906573107,0.019332990659784867,True,True,True
d_axis_only,232,0.02522591716671465,0.0195642248376827,True,True,True
d_axis_only,233,0.023586846716897283,0.019239352437880143,True,True,True
d_axis_only,234,0.02466648716355959,0.02057388462839687,True,True,True
d_axis_only,235,0.025718354355233144,0.020327107381482287,True,True,True
d_axis_only,236,0.023014537080495705,0.01890137294493463,True,True,True
d_axis_only,237,0.02447543654244771,0.02042960591266105,True,True,True
d_axis_only,238,0.024531466465862663,0.01945516462732066,True,True,True
d_axis_only,239,0.024420210761887558,0.01960381134175423,True,True,True
d_axis_only,240,0.022527097160997753,0.017720075520392262,True,True,True
d_axis_only,241,0.025944143050310196,0.020718997984452737,True,True,True
d_axis_only,242,0.025557966733305328,0.021014149613594733,True,True,True
d_axis_only,243,0.024451544071193133,0.01880125350427773,True,True,True
d_axis_only,244,0.022796837727608005,0.01894715060255877,True,True,True
d_axis_only,245,0.024201978460439033,0.018921412023963195,True,True,True
d_axis_only,246,0.02495117546626263,0.02114598332487857,True,True,True
d_axis_only,247,0.023552273171357583,0.018915587276577432,True,True,True
d_axis_only,248,0.025482933337818498,0.02131998768031646,True,True,True
d_axis_only,249,0.022890260051705563,0.019064610652779406,True,True,True
d_axis_only,250,0.023463645723651498,0.018740675157178435,True,True,True
d_axis_only,251,0.02291669005731125,0.019448997870967606,True,True,True
d_axis_only,252,0.023492512719904865,0.0193643126672535,True,True,True
d_axis_only,253,0.02264234658460797,0.020399824171468628,True,True,True
d_axis_only,254,0.02267062394486909,0.019270866425074248,True,True,True
d_axis_only,255,0.023668193514816242,0.019216348747193208,True,True,True
d_axis_only,256,0.025503262743853058,0.018917565151292545,True,True,True
d_axis_only,257,0.02450782208465922,0.01941014425824793,True,True,True
d_axis_only,258,0.025104415457444934,0.02061215558788636,True,True,True
d_axis_only,259,0.024125058131014683,0.01940497173856931,True,True,True
d_axis_only,260,0.02315323337169855,0.01875977041982574,True,True,True
d_axis_only,261,0.023730840514274865,0.019222376163017828,True,True,True
d_axis_only,262,0.02438729784874676,0.019805648164645223,True,True,True
d_axis_only,263,0.02641032005761767,0.02153663937121189,True,True,True
d_axis_only,264,0.02262502112423525,0.018823367321179844,True,True,True
d_axis_only,265,0.026435503736700717,0.020202951244076454,True,True,True
d_axis_only,266,0.02627574614398211,0.020810892381489303,True,True,True
d_axis_only,267,0.024099254899844907,0.01975704948090837,True,True,True
d_axis_only,268,0.02386240243829383,0.019188792867327026,True,True,True
d_axis_only,269,0.023971199417297598,0.02027184453675544,True,True,True
d_axis_only,270,0.02476299070095242,0.020693409933542132,True,True,True
d_axis_only,271,0.024600566574191275,0.018847439841365346,True,True,True
d_axis_only,272,0.024364772780851907,0.01937680521785206,True,True,True
d_axis_only,273,0.02502504834830225,0.020130341966319413,True,True,True
d_axis_only,274,0.024346949208850558,0.01890036549485094,True,True,True
d_axis_only,275,0.022482981066117944,0.01847003844172945,True,True,True
d_axis_only,276,0.023613050741636662,0.018646490278329906,True,True,True
d_axis_only,277,0.023921220637883173,0.020013792649238273,True,True,True
d_axis_only,278,0.02345181489009302,0.02005278613870858,True,True,True
d_axis_only,279,0.024650270205089694,0.019570285883767476,True,True,True
d_axis_only,280,0.024783783642246072,0.018988855395890798,True,True,True
d_axis_only,281,0.02453371675528849,0.019908867957647364,True,True,True
d_axis_only,282,0.022524560109600588,0.019166211939434723,True,True,True
d_axis_only,283,0.02209069298280582,0.018546022695167416,True,True,True
d_axis_only,284,0.02543409247726887,0.020172863705197004,True,True,True
d_axis_only,285,0.024686375390744066,0.020224030167975394,True,True,True
d_axis_only,286,0.022869679998173353,0.01871202472602204,True,True,True
d_axis_only,287,0.02414020930535081,0.020364194974362863,True,True,True
d_axis_only,288,0.02497420205170796,0.019778047919898758,True,True,True
d_axis_only,289,0.023336515250720415,0.01867748032521511,True,True,True
d_axis_only,290,0.024983056536959796,0.019634453169300094,True,True,True
d_axis_only,291,0.024238066658362145,0.020790063506767674,True,True,True
d_axis_only,292,0.024718795209861137,0.019707676915744383,True,True,True
d_axis_only,293,0.025904379626105443,0.019885032452941938,True,True,True
