sample_id,best_model,thermal_delta_T4_rmse,exp_power_rmse,exp_power2_rmse,thermal_delta_T4_delta_aicc,exp_power_delta_aicc,thermal_delta_T4_beats_exp_power,thermal_delta_T4_beats_exp_power2,thermal_delta_T4_best_model
739,thermal_delta_T4,0.0763869901099297,0.098737506130363,0.07966793563828062,0.0,15.91245378636151,True,True,True
740,thermal_delta_T4,0.08130391156906808,0.10098715639553658,0.08832669473366485,0.0,13.441551403005377,True,True,True
741,exp_power2,0.08631793324102348,0.09493838728560294,0.08555807229283147,0.5482054993920826,6.450031914894424,True,False,False
742,thermal_delta_T4,0.08640992954904668,0.10275190908494011,0.08840169710411028,0.0,10.739319990908797,True,True,True
743,exp_power2,0.08950931968175156,0.09757722488731743,0.08651858205383908,2.1069793611638374,7.457663944167621,True,False,False
744,thermal_delta_T4,0.08646260109365896,0.1024608611796953,0.09021784871720309,0.0,10.525673062514983,True,True,True
745,thermal_delta_T4,0.08083726852609634,0.09727612525832237,0.08438809080048307,0.0,11.477159963863357,True,True,True
746,thermal_delta_T4,0.09329540558193568,0.10968792596068491,0.09790887171097915,0.0,10.03584290235159,True,True,True
747,thermal_delta_T4,0.07056581066702765,0.09006914785941532,0.07725861979479202,0.0,15.129979402672149,True,True,True
748,thermal_delta_T4,0.07606270491684522,0.09987889997487008,0.08868038707678104,0.0,16.888823998995775,True,True,True
749,thermal_delta_T4,0.06571475963465732,0.08929473603126374,0.07637385720878936,0.0,19.010377187373592,True,True,True
750,exp_power2,0.08258376257029375,0.09058197036913325,0.08057519049856839,1.5265819931912006,7.257992723073983,True,False,False
751,exp_power2,0.09237926669795561,0.09942477284255113,0.0903029022193048,1.409443980557512,5.9663658169144185,True,False,False
752,exp_power2,0.08976894450648067,0.1013110739133978,0.0866140786474789,2.218156181441742,9.717467696132815,True,False,False
753,exp_power2,0.08946067781060045,0.10130566432910837,0.0890705535250181,0.2709637302605188,7.9802391173404885,True,False,False
754,exp_power2,0.08797498650662806,0.09054026010173763,0.08229882169146539,4.135135848126055,5.917145115398398,True,False,False
755,thermal_delta_T4,0.06675175432662499,0.0887349302624253,0.07782949228365012,0.0,17.649728175957677,True,True,True
756,thermal_delta_T4,0.07378299762174437,0.08867114166534139,0.07602844526441394,0.0,11.395982429346532,True,True,True
757,exp_power2,0.0889484220303771,0.09538210449786844,0.08280524104351424,4.437049652603008,8.766776437731494,True,False,False
758,thermal_delta_T4,0.07552083647219238,0.10263632735977815,0.08605965427720916,0.0,19.020567077509725,True,True,True
759,exp_power2,0.07894011159880462,0.08628051598250788,0.07783172725298812,0.8767004964445846,6.389388204901735,True,False,False
760,thermal_delta_T4,0.07734114338377383,0.10530377197266545,0.09064636301419955,0.0,19.134636525793297,True,True,True
761,thermal_delta_T4,0.07593128458302259,0.09518756665600271,0.08486168812491235,0.0,14.013274090240628,True,True,True
762,thermal_delta_T4,0.08007554432497309,0.10084333793194572,0.08333582666579914,0.0,14.297058012512622,True,True,True
763,exp_power2,0.07957005476686813,0.09248363489980838,0.076152663237624,2.721661949030306,12.046082706780936,True,False,False
764,thermal_delta_T4,0.094999734149334,0.10043147508396279,0.0964634391908029,0.0,3.4472968323077566,True,True,True
765,exp_power2,0.07941864099389159,0.0875425374372116,0.07600566102744612,2.723367930737936,8.761653544844876,True,False,False
766,thermal_delta_T4,0.08477767371187975,0.09824167267429179,0.08622989607019443,0.0,9.13869238213374,True,True,True
767,thermal_delta_T4,0.07792076161542788,0.09993100694115979,0.08194455569829828,0.0,15.424830187926688,True,True,True
768,thermal_delta_T4,0.0791925096625707,0.10631830983467122,0.09087666633839747,0.0,18.262459471857994,True,True,True
769,thermal_delta_T4,0.08924882278715035,0.10592261715104784,0.09332673758027357,0.0,10.619395347623708,True,True,True
770,thermal_delta_T4,0.08903814515872958,0.10713337656227637,0.09841411741244944,0.0,11.470600962377347,True,True,True
771,thermal_delta_T4,0.09109236371710204,0.10317214543290146,0.0933849482057918,0.0,7.720545681731352,True,True,True
772,thermal_delta_T4,0.07922652318059385,0.09849379095909876,0.08554799651160155,0.0,13.496307488166934,True,True,True
