distribution,branch,model,q,density,acceptance,effective_density,weight_zero_photon,weight_one_photon,weight_two_photon,velocity_sigma
raw_one_photon_density,raw,complex_mixture_with_smear,0.16,0.23785795491598266,1.0,0.23785795491598266,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.1625,0.23967642841163025,1.0,0.23967642841163025,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.165,0.2414801772000949,1.0,0.2414801772000949,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.1675,0.2432695271131224,1.0,0.2432695271131224,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.17,0.2450447918828416,1.0,0.2450447918828416,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.17250000000000001,0.24680627376146652,1.0,0.24680627376146652,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.17500000000000002,0.24855426410075196,1.0,0.24855426410075196,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.1775,0.2502890438943511,1.0,0.2502890438943511,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.18,0.2520108842859396,1.0,0.2520108842859396,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.1825,0.25372004704571033,1.0,0.25372004704571033,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.185,0.2554167850176132,1.0,0.2554167850176132,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.1875,0.2571013425395068,1.0,0.2571013425395068,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.19,0.2587739558381994,1.0,0.2587739558381994,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.1925,0.2604348534011923,1.0,0.2604348534011923,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.195,0.262084256326782,1.0,0.262084256326782,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.1975,0.26372237865404163,1.0,0.26372237865404163,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.2,0.26534942767407865,1.0,0.26534942767407865,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.2025,0.2669656042238507,1.0,0.2669656042238507,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.20500000000000002,0.2685711029637194,1.0,0.2685711029637194,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.20750000000000002,0.27016611263983054,1.0,0.27016611263983054,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.21,0.271750816332321,1.0,0.271750816332321,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.2125,0.2733253916902786,1.0,0.2733253916902786,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.215,0.27489001115430756,1.0,0.27489001115430756,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.2175,0.27644484216749204,1.0,0.27644484216749204,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.22,0.277990047375486,1.0,0.277990047375486,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.2225,0.2795257848164086,1.0,0.2795257848164086,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.225,0.28105220810117226,1.0,0.28105220810117226,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.2275,0.28256946658482673,1.0,0.28256946658482673,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.23,0.2840777055294591,1.0,0.2840777055294591,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.2325,0.2855770662591553,1.0,0.2855770662591553,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.23500000000000001,0.28706768630748786,1.0,0.28706768630748786,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.23750000000000002,0.28854969955796916,1.0,0.28854969955796916,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.24,0.2900232363778732,1.0,0.2900232363778732,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.2425,0.29148842374580713,1.0,0.29148842374580713,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.245,0.29294538537338394,1.0,0.29294538537338394,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.2475,0.29439424182132684,1.0,0.29439424182132684,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.25,0.29583511061031487,1.0,0.29583511061031487,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.2525,0.29726810632685596,1.0,0.29726810632685596,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.255,0.29869334072445997,1.0,0.29869334072445997,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.2575,0.3001109228203612,1.0,0.3001109228203612,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.26,0.30152095898803066,1.0,0.30152095898803066,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.2625,0.30292355304569757,1.0,0.30292355304569757,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.265,0.30431880634108976,1.0,0.30431880634108976,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.2675,0.3057068178325881,1.0,0.3057068178325881,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.27,0.3070876841669786,1.0,0.3070876841669786,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.2725,0.3084614997539759,1.0,0.3084614997539759,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.275,0.309828356837679,1.0,0.309828356837679,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.2775,0.3111883455651137,1.0,0.3111883455651137,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.28,0.3125415540520045,1.0,0.3125415540520045,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.28250000000000003,0.31388806844591244,1.0,0.31388806844591244,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.28500000000000003,0.31522797298686617,1.0,0.31522797298686617,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.28750000000000003,0.31656135006560737,1.0,0.31656135006560737,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.29,0.31788828027956345,1.0,0.31788828027956345,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.2925,0.3192088424866561,1.0,0.3192088424866561,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.295,0.32052311385704596,1.0,0.32052311385704596,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.2975,0.32183116992291,1.0,0.32183116992291,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.3,0.323133084626343,1.0,0.323133084626343,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.3025,0.3244289303654663,1.0,0.3244289303654663,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.305,0.32571877803882876,1.0,0.32571877803882876,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.3075,0.32700269708817326,1.0,0.32700269708817326,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.31,0.32828075553964375,1.0,0.32828075553964375,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.3125,0.32955302004350123,1.0,0.32955302004350123,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.315,0.33081955591241374,1.0,0.33081955591241374,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.3175,0.3320804271583827,1.0,0.3320804271583827,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.32,0.333335696528365,1.0,0.333335696528365,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.3225,0.33458542553864523,1.0,0.33458542553864523,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.325,0.33582967450801365,1.0,0.33582967450801365,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.3275,0.33706850258979715,1.0,0.33706850258979715,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.33,0.3383019678027942,1.0,0.3383019678027942,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.3325,0.3395301270611575,1.0,0.3395301270611575,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.335,0.3407530362032677,1.0,0.3407530362032677,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.3375,0.34197075001964145,1.0,0.34197075001964145,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.34,0.3431833222799101,1.0,0.3431833222799101,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.3425,0.34439080575890874,1.0,0.34439080575890874,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.34500000000000003,0.34559325226191046,1.0,0.34559325226191046,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.34750000000000003,0.3467907126490397,1.0,0.3467907126490397,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.35000000000000003,0.34798323685889704,1.0,0.34798323685889704,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.3525,0.3491708739314267,1.0,0.3491708739314267,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.355,0.3503536720300561,1.0,0.3503536720300561,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.3575,0.35153167846313493,1.0,0.35153167846313493,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.36,0.3527049397047018,1.0,0.3527049397047018,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.3625,0.35387350141460283,1.0,0.35387350141460283,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.365,0.35503740845798787,1.0,0.35503740845798787,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.3675,0.3561967049242066,1.0,0.3561967049242066,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.37,0.3573514341451276,1.0,0.3573514341451276,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.3725,0.3585016387129021,1.0,0.3585016387129021,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.375,0.3596473604971913,1.0,0.3596473604971913,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.3775,0.3607886406618794,1.0,0.3607886406618794,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.38,0.3619255196812877,1.0,0.3619255196812877,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.3825,0.3630580373559118,1.0,0.3630580373559118,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.385,0.3641862328276949,1.0,0.3641862328276949,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.3875,0.3653101445948565,1.0,0.3653101445948565,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.39,0.3664298105262916,1.0,0.3664298105262916,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.3925,0.36754526787555475,1.0,0.36754526787555475,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.395,0.36865655329444424,1.0,0.36865655329444424,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.3975,0.3697637028461998,1.0,0.3697637028461998,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.4,0.3708667520183279,1.0,0.3708667520183279,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.4025,0.37196573573506614,1.0,0.37196573573506614,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.405,0.37306068836950046,1.0,0.37306068836950046,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.40750000000000003,0.37415164375534565,1.0,0.37415164375534565,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.41000000000000003,0.3752386351984019,1.0,0.3752386351984019,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.41250000000000003,0.3763216954876961,1.0,0.3763216954876961,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.41500000000000004,0.37740085690632097,1.0,0.37740085690632097,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.4175,0.3784761512419799,1.0,0.3784761512419799,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.42,0.3795476097972484,1.0,0.3795476097972484,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.4225,0.3806152633995602,1.0,0.3806152633995602,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.425,0.38167914241092904,1.0,0.38167914241092904,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.4275,0.38273927673741165,1.0,0.38273927673741165,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.43,0.3837956958383233,1.0,0.3837956958383233,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.4325,0.3848484287352118,1.0,0.3848484287352118,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.435,0.385897504020598,1.0,0.385897504020598,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.4375,0.3869429498664909,1.0,0.3869429498664909,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.44,0.3879847940326834,1.0,0.3879847940326834,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.4425,0.38902306387483604,1.0,0.38902306387483604,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.445,0.39005778635235605,1.0,0.39005778635235605,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.4475,0.3910889880360756,1.0,0.3910889880360756,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.45,0.39211669511573893,1.0,0.39211669511573893,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.4525,0.39314093340730066,1.0,0.39314093340730066,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.455,0.39416172836004376,1.0,0.39416172836004376,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.4575,0.3951791050635205,1.0,0.3951791050635205,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.46,0.39619308825432353,1.0,0.39619308825432353,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.4625,0.3972037023226906,1.0,0.3972037023226906,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.465,0.3982109713189488,1.0,0.3982109713189488,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.4675,0.3992149189598027,1.0,0.3992149189598027,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.47000000000000003,0.4002155686344711,1.0,0.4002155686344711,0.06,0.8999999999999999,0.04,0.5
