analysis_scope,distribution,branch,model,q,density,acceptance,effective_density,weight_zero_photon,weight_one_photon,weight_two_photon,velocity_sigma
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.1475,0.19303588859954982,1.0,0.19303588859954982,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.15,0.1949607665632151,1.0,0.1949607665632151,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.1525,0.19687197621419045,1.0,0.19687197621419045,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.155,0.19876981993607437,1.0,0.19876981993607437,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.1575,0.20065458845984818,1.0,0.20065458845984818,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.16,0.20252656148973713,1.0,0.20252656148973713,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.1625,0.2043860082862072,1.0,0.2043860082862072,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.165,0.20623318820964662,1.0,0.20623318820964662,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.1675,0.20806835122793804,1.0,0.20806835122793804,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.17,0.20989173839082123,1.0,0.20989173839082123,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.17250000000000001,0.21170358227367578,1.0,0.21170358227367578,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.17500000000000002,0.2135041073931079,1.0,0.2135041073931079,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.1775,0.21529353059651016,1.0,0.21529353059651016,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.18,0.21707206142756674,1.0,0.21707206142756674,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.1825,0.2188399024695028,1.0,0.2188399024695028,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.185,0.22059724966771846,1.0,0.22059724966771846,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.1875,0.22234429263330774,1.0,0.22234429263330774,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.19,0.22408121492883337,1.0,0.22408121492883337,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.1925,0.22580819433761554,1.0,0.22580819433761554,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.195,0.22752540311768568,1.0,0.22752540311768568,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.1975,0.22923300824146506,1.0,0.22923300824146506,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.2,0.23093117162213955,1.0,0.23093117162213955,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.2025,0.23262005032762742,1.0,0.23262005032762742,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.20500000000000002,0.23429979678296292,1.0,0.23429979678296292,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.20750000000000002,0.23597055896185784,1.0,0.23597055896185784,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.21,0.23763248056814218,1.0,0.23763248056814218,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.2125,0.23928570120773246,1.0,0.23928570120773246,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.215,0.24093035655172831,1.0,0.24093035655172831,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.2175,0.2425665784911921,1.0,0.2425665784911921,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.22,0.2441944952841266,1.0,0.2441944952841266,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.2225,0.24581423169512823,1.0,0.24581423169512823,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.225,0.24742590912815854,1.0,0.24742590912815854,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.2275,0.24902964575284572,1.0,0.24902964575284572,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.23,0.25062555662469954,1.0,0.25062555662469954,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.2325,0.252213753799595,1.0,0.252213753799595,0.08,0.68,0.24,0.8
