analysis_scope,distribution,branch,q,density,acceptance,effective_density
all_phase_points,raw_beta_recoil_complex,raw,0.29,0.41561702068286493,1.0,0.41561702068286493
all_phase_points,raw_beta_recoil_complex,raw,0.2925,0.4171604256038653,1.0,0.4171604256038653
all_phase_points,raw_beta_recoil_complex,raw,0.295,0.41869390905283443,1.0,0.41869390905283443
all_phase_points,raw_beta_recoil_complex,raw,0.2975,0.42021757769975376,1.0,0.42021757769975376
all_phase_points,raw_beta_recoil_complex,raw,0.3,0.4217315359781476,1.0,0.4217315359781476
all_phase_points,raw_beta_recoil_complex,raw,0.3025,0.42323588614941193,1.0,0.42323588614941193
all_phase_points,raw_beta_recoil_complex,raw,0.305,0.4247307283647678,1.0,0.4247307283647678
all_phase_points,raw_beta_recoil_complex,raw,0.3075,0.4262161607249432,1.0,0.4262161607249432
all_phase_points,raw_beta_recoil_complex,raw,0.31,0.4276922793376864,1.0,0.4276922793376864
all_phase_points,raw_beta_recoil_complex,raw,0.3125,0.4291591783732051,1.0,0.4291591783732051
all_phase_points,raw_beta_recoil_complex,raw,0.315,0.43061695011762263,1.0,0.43061695011762263
all_phase_points,raw_beta_recoil_complex,raw,0.3175,0.432065685024538,1.0,0.432065685024538
all_phase_points,raw_beta_recoil_complex,raw,0.32,0.4335054717647702,1.0,0.4335054717647702
all_phase_points,raw_beta_recoil_complex,raw,0.3225,0.43493639727436467,1.0,0.43493639727436467
all_phase_points,raw_beta_recoil_complex,raw,0.325,0.4363585468009366,1.0,0.4363585468009366
all_phase_points,raw_beta_recoil_complex,raw,0.3275,0.4377720039484201,1.0,0.4377720039484201
all_phase_points,raw_beta_recoil_complex,raw,0.33,0.43917685072029017,1.0,0.43917685072029017
all_phase_points,raw_beta_recoil_complex,raw,0.3325,0.44057316756131976,1.0,0.44057316756131976
all_phase_points,raw_beta_recoil_complex,raw,0.335,0.4419610333979343,1.0,0.4419610333979343
all_phase_points,raw_beta_recoil_complex,raw,0.3375,0.4433405256772187,1.0,0.4433405256772187
all_phase_points,raw_beta_recoil_complex,raw,0.34,0.44471172040463286,1.0,0.44471172040463286
all_phase_points,raw_beta_recoil_complex,raw,0.3425,0.44607469218048706,1.0,0.44607469218048706
all_phase_points,raw_beta_recoil_complex,raw,0.34500000000000003,0.44742951423522664,1.0,0.44742951423522664
all_phase_points,raw_beta_recoil_complex,raw,0.34750000000000003,0.4487762584635734,1.0,0.4487762584635734
all_phase_points,raw_beta_recoil_complex,raw,0.35000000000000003,0.45011499545756867,1.0,0.45011499545756867
all_phase_points,raw_beta_recoil_complex,raw,0.3525,0.45144579453856104,1.0,0.45144579453856104
all_phase_points,raw_beta_recoil_complex,raw,0.355,0.4527687237881793,1.0,0.4527687237881793
all_phase_points,raw_beta_recoil_complex,raw,0.3575,0.45408385007833035,1.0,0.45408385007833035
all_phase_points,raw_beta_recoil_complex,raw,0.36,0.4553912391002578,1.0,0.4553912391002578
all_phase_points,raw_beta_recoil_complex,raw,0.3625,0.4566909553926998,1.0,0.4566909553926998
all_phase_points,raw_beta_recoil_complex,raw,0.365,0.457983062369177,1.0,0.457983062369177
all_phase_points,raw_beta_recoil_complex,raw,0.3675,0.4592676223444448,1.0,0.4592676223444448
all_phase_points,raw_beta_recoil_complex,raw,0.37,0.46054469656014085,1.0,0.46054469656014085
all_phase_points,raw_beta_recoil_complex,raw,0.3725,0.4618143452096578,1.0,0.4618143452096578
