sample_id,raw_rmse_exponential,raw_rmse_gaussian_kernel,raw_rmse_sinc_fourier,raw_sinc_minus_exp_rmse,raw_sinc_beats_exp,raw_sinc_width,raw_sinc_first_zero,case_I_sinc_width,case_III_sinc_width,conditioned_widths_narrower_than_raw,peak_recoverable_loss_x,peak_recoverable_loss,peak_recovery_fraction_x,peak_recovery_fraction,raw_zero_to_peak_loss_distance,recovery_window_aligns_with_raw_zero
516,0.06377233245308082,0.063772286610983,0.0347622755961468,-0.029010056856934023,True,2.057916666666667,0.48592832557197807,0.8904722222222223,1.3908055555555556,True,0.5,0.6427066406984833,0.4,0.7542846384100519,0.01407167442802193,True
517,0.08415787064660807,0.08415787602662743,0.0364743743404451,-0.04768349630616297,True,2.020611111111111,0.4948997827939842,0.903638888888889,2.929111111111111,False,0.5,0.6159978941131696,0.4,0.6454654446818361,0.005100217206015778,True
518,0.08801538404567556,0.08801534038954037,0.04305880414567663,-0.04495657989999893,True,1.9416111111111114,0.5150361955993018,0.8860833333333334,1.564166666666667,True,0.5,0.6984345172591628,0.5,0.7228062186433567,0.015036195599301805,True
519,0.07632550107575826,0.07632555570963798,0.03818524538395457,-0.038140255691803696,True,1.9196666666666669,0.5209237714881055,0.7851388888888889,1.5224722222222224,True,0.5,0.6416260269963265,0.5,0.676314362677957,0.020923771488105536,True
520,0.08218983950364014,0.08218989706942618,0.03423895609223398,-0.047950883411406166,True,1.9196666666666669,0.5209237714881055,1.0594444444444446,1.4654166666666668,True,0.5,0.6600237560931059,0.0,1.0,0.020923771488105536,True
521,0.04962289630283307,0.049622925990170264,0.027513822013058027,-0.022109074289775044,True,2.049138888888889,0.48800986864401036,0.9343611111111112,1.500527777777778,True,0.5,0.5473257827576878,0.0,1.0,0.011990131355989642,True
522,0.06041762614752336,0.0604176027130909,0.0427258751634103,-0.017691750984113054,True,1.930638888888889,0.5179632533847459,0.8948611111111112,1.476388888888889,True,0.4,0.6054106750467925,0.4,0.7441037731222127,0.11796325338474589,True
523,0.07388388647505449,0.07388387146710171,0.03363030080055174,-0.040253585674502754,True,1.9613611111111113,0.5098500191193757,0.8948611111111112,1.3886111111111112,True,0.5,0.5881354693374441,0.2,0.7217354536280397,0.009850019119375664,True
524,0.08352691390363422,0.08352694714062361,0.04161900815500382,-0.041907905748630396,True,1.970138888888889,0.5075784279168135,0.8992500000000001,1.397388888888889,True,0.5,0.7016251082822966,0.0,0.7578631965588285,0.007578427916813513,True
525,0.0571182068562112,0.05711825735420695,0.03160454011672068,-0.025513666739490515,True,1.9503888888888892,0.5127182613154071,0.9211944444444445,1.085777777777778,True,0.4,0.5925534886283959,0.0,1.0,0.11271826131540708,True
526,0.07873790449202576,0.07873787881103565,0.034641828945053514,-0.04409607554697225,True,1.9481944444444446,0.5132957866970842,1.0682222222222224,1.480777777777778,True,0.5,0.5201303983471339,0.0,1.0,0.0132957866970842,True
