scale,sample_id,calculated_independent_kappa_rmse,rmse_ratio_to_refit,passes_absolute_rmse_lt_005,passes_refit_ratio_lte_15,passes_joint_gate
0.0,196,0.02398311074013498,1.2413588440106615,True,True,True
0.0,197,0.02398311074013498,1.2413588440106615,True,True,True
0.0,198,0.02398311074013498,1.2413588440106615,True,True,True
0.0,199,0.02398311074013498,1.2413588440106615,True,True,True
0.0,200,0.02398311074013498,1.2413588440106615,True,True,True
0.0,201,0.02398311074013498,1.2413588440106615,True,True,True
0.0,202,0.02398311074013498,1.2413588440106615,True,True,True
0.0,203,0.02398311074013498,1.2413588440106615,True,True,True
0.0,204,0.02398311074013498,1.2413588440106615,True,True,True
0.0,205,0.02398311074013498,1.2413588440106615,True,True,True
0.0,206,0.02398311074013498,1.2413588440106615,True,True,True
0.0,207,0.02398311074013498,1.2413588440106615,True,True,True
0.0,208,0.02398311074013498,1.2413588440106615,True,True,True
0.0,209,0.02398311074013498,1.2413588440106615,True,True,True
0.0,210,0.02398311074013498,1.2413588440106615,True,True,True
0.0,211,0.02398311074013498,1.2413588440106615,True,True,True
0.0,212,0.02398311074013498,1.2413588440106615,True,True,True
0.0,213,0.02398311074013498,1.2413588440106615,True,True,True
0.0,214,0.02398311074013498,1.2413588440106615,True,True,True
0.0,215,0.02398311074013498,1.2413588440106615,True,True,True
0.0,216,0.02398311074013498,1.2413588440106615,True,True,True
0.0,217,0.02398311074013498,1.2413588440106615,True,True,True
0.0,218,0.02398311074013498,1.2413588440106615,True,True,True
0.0,219,0.02398311074013498,1.2413588440106615,True,True,True
0.0,220,0.02398311074013498,1.2413588440106615,True,True,True
0.0,221,0.02398311074013498,1.2413588440106615,True,True,True
0.0,222,0.02398311074013498,1.2413588440106615,True,True,True
0.0,223,0.02398311074013498,1.2413588440106615,True,True,True
0.0,224,0.02398311074013498,1.2413588440106615,True,True,True
0.0,225,0.02398311074013498,1.2413588440106615,True,True,True
0.0,226,0.02398311074013498,1.2413588440106615,True,True,True
0.0,227,0.02398311074013498,1.2413588440106615,True,True,True
0.0,228,0.02398311074013498,1.2413588440106615,True,True,True
0.0,229,0.02398311074013498,1.2413588440106615,True,True,True
0.0,230,0.02398311074013498,1.2413588440106615,True,True,True
0.0,231,0.02398311074013498,1.2413588440106615,True,True,True
0.0,232,0.02398311074013498,1.2413588440106615,True,True,True
0.0,233,0.02398311074013498,1.2413588440106615,True,True,True
0.0,234,0.02398311074013498,1.2413588440106615,True,True,True
0.0,235,0.02398311074013498,1.2413588440106615,True,True,True
0.0,236,0.02398311074013498,1.2413588440106615,True,True,True
0.0,237,0.02398311074013498,1.2413588440106615,True,True,True
0.0,238,0.02398311074013498,1.2413588440106615,True,True,True
0.0,239,0.02398311074013498,1.2413588440106615,True,True,True
0.0,240,0.02398311074013498,1.2413588440106615,True,True,True
0.0,241,0.02398311074013498,1.2413588440106615,True,True,True
0.0,242,0.02398311074013498,1.2413588440106615,True,True,True
0.0,243,0.02398311074013498,1.2413588440106615,True,True,True
0.0,244,0.02398311074013498,1.2413588440106615,True,True,True
0.0,245,0.02398311074013498,1.2413588440106615,True,True,True
0.0,246,0.02398311074013498,1.2413588440106615,True,True,True
0.0,247,0.02398311074013498,1.2413588440106615,True,True,True
0.0,248,0.02398311074013498,1.2413588440106615,True,True,True
0.0,249,0.02398311074013498,1.2413588440106615,True,True,True
0.0,250,0.02398311074013498,1.2413588440106615,True,True,True
0.0,251,0.02398311074013498,1.2413588440106615,True,True,True
0.0,252,0.02398311074013498,1.2413588440106615,True,True,True
0.0,253,0.02398311074013498,1.2413588440106615,True,True,True
0.0,254,0.02398311074013498,1.2413588440106615,True,True,True
0.0,255,0.02398311074013498,1.2413588440106615,True,True,True
0.0,256,0.02398311074013498,1.2413588440106615,True,True,True
0.0,257,0.02398311074013498,1.2413588440106615,True,True,True
0.0,258,0.02398311074013498,1.2413588440106615,True,True,True
0.0,259,0.02398311074013498,1.2413588440106615,True,True,True
0.0,260,0.02398311074013498,1.2413588440106615,True,True,True
0.0,261,0.02398311074013498,1.2413588440106615,True,True,True
0.0,262,0.02398311074013498,1.2413588440106615,True,True,True
0.0,263,0.02398311074013498,1.2413588440106615,True,True,True
0.0,264,0.02398311074013498,1.2413588440106615,True,True,True
0.0,265,0.02398311074013498,1.2413588440106615,True,True,True
0.0,266,0.02398311074013498,1.2413588440106615,True,True,True
0.0,267,0.02398311074013498,1.2413588440106615,True,True,True
0.0,268,0.02398311074013498,1.2413588440106615,True,True,True
0.0,269,0.02398311074013498,1.2413588440106615,True,True,True
0.0,270,0.02398311074013498,1.2413588440106615,True,True,True
0.0,271,0.02398311074013498,1.2413588440106615,True,True,True
0.0,272,0.02398311074013498,1.2413588440106615,True,True,True
0.0,273,0.02398311074013498,1.2413588440106615,True,True,True
0.0,274,0.02398311074013498,1.2413588440106615,True,True,True
0.0,275,0.02398311074013498,1.2413588440106615,True,True,True
0.0,276,0.02398311074013498,1.2413588440106615,True,True,True
0.0,277,0.02398311074013498,1.2413588440106615,True,True,True
0.0,278,0.02398311074013498,1.2413588440106615,True,True,True
0.0,279,0.02398311074013498,1.2413588440106615,True,True,True
0.0,280,0.02398311074013498,1.2413588440106615,True,True,True
0.0,281,0.02398311074013498,1.2413588440106615,True,True,True
0.0,282,0.02398311074013498,1.2413588440106615,True,True,True
0.0,283,0.02398311074013498,1.2413588440106615,True,True,True
0.0,284,0.02398311074013498,1.2413588440106615,True,True,True
0.0,285,0.02398311074013498,1.2413588440106615,True,True,True
0.0,286,0.02398311074013498,1.2413588440106615,True,True,True
0.0,287,0.02398311074013498,1.2413588440106615,True,True,True
0.0,288,0.02398311074013498,1.2413588440106615,True,True,True
0.0,289,0.02398311074013498,1.2413588440106615,True,True,True
0.0,290,0.02398311074013498,1.2413588440106615,True,True,True
0.0,291,0.02398311074013498,1.2413588440106615,True,True,True
0.0,292,0.02398311074013498,1.2413588440106615,True,True,True
0.0,293,0.02398311074013498,1.2413588440106615,True,True,True
0.0,294,0.02398311074013498,1.2413588440106615,True,True,True
0.0,295,0.02398311074013498,1.2413588440106615,True,True,True
0.0,296,0.02398311074013498,1.2413588440106615,True,True,True
0.0,297,0.02398311074013498,1.2413588440106615,True,True,True
0.0,298,0.02398311074013498,1.2413588440106615,True,True,True
0.0,299,0.02398311074013498,1.2413588440106615,True,True,True
0.0,300,0.02398311074013498,1.2413588440106615,True,True,True
0.0,301,0.02398311074013498,1.2413588440106615,True,True,True
0.0,302,0.02398311074013498,1.2413588440106615,True,True,True
0.0,303,0.02398311074013498,1.2413588440106615,True,True,True
0.0,304,0.02398311074013498,1.2413588440106615,True,True,True
0.0,305,0.02398311074013498,1.2413588440106615,True,True,True
0.0,306,0.02398311074013498,1.2413588440106615,True,True,True
0.0,307,0.02398311074013498,1.2413588440106615,True,True,True
0.0,308,0.02398311074013498,1.2413588440106615,True,True,True
0.0,309,0.02398311074013498,1.2413588440106615,True,True,True
0.0,310,0.02398311074013498,1.2413588440106615,True,True,True
0.0,311,0.02398311074013498,1.2413588440106615,True,True,True
0.0,312,0.02398311074013498,1.2413588440106615,True,True,True
0.0,313,0.02398311074013498,1.2413588440106615,True,True,True
0.0,314,0.02398311074013498,1.2413588440106615,True,True,True
0.0,315,0.02398311074013498,1.2413588440106615,True,True,True
0.0,316,0.02398311074013498,1.2413588440106615,True,True,True
0.0,317,0.02398311074013498,1.2413588440106615,True,True,True
0.0,318,0.02398311074013498,1.2413588440106615,True,True,True
0.0,319,0.02398311074013498,1.2413588440106615,True,True,True
0.0,320,0.02398311074013498,1.2413588440106615,True,True,True
0.0,321,0.02398311074013498,1.2413588440106615,True,True,True
0.0,322,0.02398311074013498,1.2413588440106615,True,True,True
0.0,323,0.02398311074013498,1.2413588440106615,True,True,True
0.0,324,0.02398311074013498,1.2413588440106615,True,True,True
0.0,325,0.02398311074013498,1.2413588440106615,True,True,True
0.0,326,0.02398311074013498,1.2413588440106615,True,True,True
0.0,327,0.02398311074013498,1.2413588440106615,True,True,True
0.0,328,0.02398311074013498,1.2413588440106615,True,True,True
0.0,329,0.02398311074013498,1.2413588440106615,True,True,True
0.0,330,0.02398311074013498,1.2413588440106615,True,True,True
0.0,331,0.02398311074013498,1.2413588440106615,True,True,True
0.0,332,0.02398311074013498,1.2413588440106615,True,True,True
0.0,333,0.02398311074013498,1.2413588440106615,True,True,True
0.0,334,0.02398311074013498,1.2413588440106615,True,True,True
0.0,335,0.02398311074013498,1.2413588440106615,True,True,True
0.0,336,0.02398311074013498,1.2413588440106615,True,True,True
0.0,337,0.02398311074013498,1.2413588440106615,True,True,True
0.0,338,0.02398311074013498,1.2413588440106615,True,True,True
0.0,339,0.02398311074013498,1.2413588440106615,True,True,True
0.0,340,0.02398311074013498,1.2413588440106615,True,True,True
0.0,341,0.02398311074013498,1.2413588440106615,True,True,True
0.0,342,0.02398311074013498,1.2413588440106615,True,True,True
0.0,343,0.02398311074013498,1.2413588440106615,True,True,True
0.0,344,0.02398311074013498,1.2413588440106615,True,True,True
0.0,345,0.02398311074013498,1.2413588440106615,True,True,True
0.0,346,0.02398311074013498,1.2413588440106615,True,True,True
0.0,347,0.02398311074013498,1.2413588440106615,True,True,True
0.0,348,0.02398311074013498,1.2413588440106615,True,True,True
0.0,349,0.02398311074013498,1.2413588440106615,True,True,True
0.0,350,0.02398311074013498,1.2413588440106615,True,True,True
0.0,351,0.02398311074013498,1.2413588440106615,True,True,True
0.0,352,0.02398311074013498,1.2413588440106615,True,True,True
0.0,353,0.02398311074013498,1.2413588440106615,True,True,True
0.0,354,0.02398311074013498,1.2413588440106615,True,True,True
0.0,355,0.02398311074013498,1.2413588440106615,True,True,True
0.0,356,0.02398311074013498,1.2413588440106615,True,True,True
0.0,357,0.02398311074013498,1.2413588440106615,True,True,True
0.0,358,0.02398311074013498,1.2413588440106615,True,True,True
0.0,359,0.02398311074013498,1.2413588440106615,True,True,True
0.0,360,0.02398311074013498,1.2413588440106615,True,True,True
0.0,361,0.02398311074013498,1.2413588440106615,True,True,True
0.0,362,0.02398311074013498,1.2413588440106615,True,True,True
0.0,363,0.02398311074013498,1.2413588440106615,True,True,True
0.0,364,0.02398311074013498,1.2413588440106615,True,True,True
0.0,365,0.02398311074013498,1.2413588440106615,True,True,True
0.0,366,0.02398311074013498,1.2413588440106615,True,True,True
0.0,367,0.02398311074013498,1.2413588440106615,True,True,True
0.0,368,0.02398311074013498,1.2413588440106615,True,True,True
0.0,369,0.02398311074013498,1.2413588440106615,True,True,True
0.0,370,0.02398311074013498,1.2413588440106615,True,True,True
0.0,371,0.02398311074013498,1.2413588440106615,True,True,True
0.0,372,0.02398311074013498,1.2413588440106615,True,True,True
0.0,373,0.02398311074013498,1.2413588440106615,True,True,True
0.0,374,0.02398311074013498,1.2413588440106615,True,True,True
0.0,375,0.02398311074013498,1.2413588440106615,True,True,True
0.0,376,0.02398311074013498,1.2413588440106615,True,True,True
0.0,377,0.02398311074013498,1.2413588440106615,True,True,True
0.0,378,0.02398311074013498,1.2413588440106615,True,True,True
0.0,379,0.02398311074013498,1.2413588440106615,True,True,True
0.0,380,0.02398311074013498,1.2413588440106615,True,True,True
0.0,381,0.02398311074013498,1.2413588440106615,True,True,True
0.0,382,0.02398311074013498,1.2413588440106615,True,True,True
0.0,383,0.02398311074013498,1.2413588440106615,True,True,True
0.0,384,0.02398311074013498,1.2413588440106615,True,True,True
0.0,385,0.02398311074013498,1.2413588440106615,True,True,True
0.0,386,0.02398311074013498,1.2413588440106615,True,True,True
0.0,387,0.02398311074013498,1.2413588440106615,True,True,True
0.0,388,0.02398311074013498,1.2413588440106615,True,True,True
0.0,389,0.02398311074013498,1.2413588440106615,True,True,True
0.0,390,0.02398311074013498,1.2413588440106615,True,True,True
0.0,391,0.02398311074013498,1.2413588440106615,True,True,True
0.0,392,0.02398311074013498,1.2413588440106615,True,True,True
0.0,393,0.02398311074013498,1.2413588440106615,True,True,True
0.0,394,0.02398311074013498,1.2413588440106615,True,True,True
0.0,395,0.02398311074013498,1.2413588440106615,True,True,True
0.0,396,0.02398311074013498,1.2413588440106615,True,True,True
0.0,397,0.02398311074013498,1.2413588440106615,True,True,True
0.0,398,0.02398311074013498,1.2413588440106615,True,True,True
0.0,399,0.02398311074013498,1.2413588440106615,True,True,True
0.0,400,0.02398311074013498,1.2413588440106615,True,True,True
0.0,401,0.02398311074013498,1.2413588440106615,True,True,True
